0,1,2,3,4,5,6,7
LagoYuririaGto,sentinel2,B11,2020,6,18,5,877219.0
LagoYuririaGto,sentinel2,B11,2020,6,18,6,584871.0
LagoYuririaGto,sentinel2,B11,2020,6,23,7,1963725.0
LagoYuririaGto,sentinel2,B11,2020,7,3,0,815397.0
LagoYuririaGto,sentinel2,B11,2020,7,3,1,523992.0
LagoYuririaGto,sentinel2,B11,2020,7,13,2,816080.0
LagoYuririaGto,sentinel2,B11,2020,7,13,3,537661.0
LagoYuririaGto,sentinel2,B11,2020,7,18,4,889337.0
LagoYuririaGto,sentinel2,B11,2020,7,18,5,583591.0
LagoYuririaGto,sentinel2,B11,2020,7,23,6,900171.0
LagoYuririaGto,sentinel2,B11,2020,7,23,7,595075.0
LagoYuririaGto,sentinel2,B11,2020,8,7,0,888132.0
LagoYuririaGto,sentinel2,B11,2020,8,7,1,585724.0
LagoYuririaGto,sentinel2,B11,2020,8,17,2,2031690.0
LagoYuririaGto,sentinel2,B11,2020,8,17,3,564582.0
LagoYuririaGto,sentinel2,B11,2020,8,22,4,541816.0
LagoYuririaGto,sentinel2,B11,2020,9,1,0,862211.0
LagoYuririaGto,sentinel2,B11,2020,9,1,1,572479.0
LagoYuririaGto,sentinel2,B11,2020,9,26,2,881204.0
LagoYuririaGto,sentinel2,B11,2020,9,26,3,580231.0
LagoYuririaGto,sentinel2,B11,2020,10,1,0,822063.0
LagoYuririaGto,sentinel2,B11,2020,10,1,1,543264.0
LagoYuririaGto,sentinel2,B11,2020,10,6,2,435454.0
LagoYuririaGto,sentinel2,B11,2020,10,11,3,846817.0
LagoYuririaGto,sentinel2,B11,2020,10,11,4,558178.0
LagoYuririaGto,sentinel2,B11,2020,10,16,5,870154.0
LagoYuririaGto,sentinel2,B11,2020,10,16,6,562233.0
LagoYuririaGto,sentinel2,B11,2020,10,21,7,829003.0
LagoYuririaGto,sentinel2,B11,2020,10,21,8,1793023.0
LagoYuririaGto,sentinel2,B11,2020,10,26,9,828555.0
LagoYuririaGto,sentinel2,B11,2020,10,26,10,546200.0
LagoYuririaGto,sentinel2,B11,2020,11,5,0,845412.0
LagoYuririaGto,sentinel2,B11,2020,11,5,1,556446.0
LagoYuririaGto,sentinel2,B11,2020,11,10,2,848579.0
LagoYuririaGto,sentinel2,B11,2020,11,10,3,558537.0
LagoYuririaGto,sentinel2,B11,2020,11,15,4,849882.0
LagoYuririaGto,sentinel2,B11,2020,11,15,5,558166.0
LagoYuririaGto,sentinel2,B11,2020,11,20,6,846681.0
