0,1,2,3,4,5,6
LagoDeChapala,B11,2020,12,3,1,225017.0
LagoDeChapala,B11,2020,12,3,0,616791.0
LagoDeChapala,B11,2021,1,2,1,227298.0
LagoDeChapala,B11,2021,1,2,0,629922.0
LagoDeChapala,B11,2020,12,23,7,243893.0
LagoDeChapala,B11,2020,12,23,6,630569.0
LagoDeChapala,B11,2021,1,27,9,228783.0
LagoDeChapala,B11,2021,1,27,8,631313.0
LagoDeChapala,B11,2021,1,22,7,227071.0
LagoDeChapala,B11,2021,1,22,6,629500.0
LagoDeChapala,B11,2021,1,17,5,360625.0
LagoDeChapala,B11,2021,1,17,4,340255.0
LagoDeChapala,B11,2021,1,7,3,227326.0
LagoDeChapala,B11,2021,1,7,2,630289.0
LagoDeChapala,B11,2021,2,11,5,226674.0
LagoDeChapala,B11,2021,2,11,4,628827.0
LagoDeChapala,B11,2021,2,6,3,226892.0
LagoDeChapala,B11,2021,2,6,2,629132.0
LagoDeChapala,B11,2021,2,1,1,226838.0
LagoDeChapala,B11,2021,2,1,0,629183.0
LagoDeChapala,B11,2021,2,26,10,226816.0
LagoDeChapala,B11,2021,2,21,9,225894.0
LagoDeChapala,B11,2021,2,21,8,627670.0
LagoDeChapala,B11,2021,2,16,7,226520.0
LagoDeChapala,B11,2021,2,16,6,628402.0
LagoDeChapala,B11,2021,3,23,9,226063.0
LagoDeChapala,B11,2021,3,23,8,626957.0
LagoDeChapala,B11,2021,3,18,6,627518.0
LagoDeChapala,B11,2021,3,18,7,226444.0
LagoDeChapala,B11,2021,3,13,5,226172.0
LagoDeChapala,B11,2021,3,13,4,627070.0
LagoDeChapala,B11,2021,3,8,3,225982.0
LagoDeChapala,B11,2021,3,8,2,627367.0
LagoDeChapala,B11,2021,3,3,1,225260.0
LagoDeChapala,B11,2021,3,3,0,627135.0
LagoDeChapala,B11,2021,4,7,3,204411.0
LagoDeChapala,B11,2021,4,7,2,609135.0
LagoDeChapala,B11,2021,4,2,1,226210.0
LagoDeChapala,B11,2021,4,2,0,3223335.0
